L,p,n_seeds,S_fresh_mean,S_fresh_sem
6,0.00,100,2.30679390,0.00539609
6,0.05,100,1.82937989,0.02659725
6,0.10,100,1.47328955,0.03496634
6,0.15,100,1.14730583,0.03316732
6,0.20,150,0.83556744,0.02640679
6,0.25,150,0.70571605,0.02316550
6,0.30,150,0.53460009,0.02196289
6,0.40,150,0.29058031,0.01619617
6,0.50,150,0.18179192,0.01226017
8,0.00,100,3.28070486,0.00287947
8,0.05,100,2.48352736,0.03559124
8,0.10,100,1.84777394,0.04147531
8,0.15,100,1.39724796,0.03887808
8,0.20,150,1.01423335,0.02953887
8,0.25,150,0.77428393,0.02863879
8,0.30,150,0.60099946,0.02455601
8,0.40,150,0.30562433,0.01446219
8,0.50,150,0.18056468,0.01272177
10,0.00,100,4.27998409,0.00161796
10,0.05,100,3.23081454,0.04121999
10,0.10,100,2.23281650,0.04805671
10,0.15,100,1.53229531,0.04912807
10,0.20,150,1.09256095,0.03322195
10,0.25,150,0.78664782,0.02543588
10,0.30,150,0.60089758,0.02422440
10,0.40,150,0.32950164,0.01610475
10,0.50,150,0.18227099,0.01281976
12,0.00,100,5.27865905,0.00074894
12,0.05,100,3.65099537,0.04905780
12,0.10,100,2.58872776,0.04971555
12,0.15,100,1.74023482,0.04935392
12,0.20,150,1.25131382,0.03513643
12,0.25,150,0.82260245,0.02791196
12,0.30,150,0.58337320,0.02216388
12,0.40,150,0.35359758,0.01539285
12,0.50,150,0.16682385,0.01115662
